CODIGO,CATEGORIA,ANO,MES,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
H001 2025 Março,Medidor faturado pela UFSC,2025.0,Março,2297094.0,Trindade,A16S366817,H001,CASAN,Florianópolis - Trindade,Almoxarifado e Transportes (PU 11 e 06),1.0,0.0,0.0,0.0,1.0,1504.0,1543.0,39.0,LIDO,Alto Consumo,660.44,660.44,-124.83,0.0,0.0,1196.0500000000002,3,2025-03-20
H002 2025 Março,Medidor faturado pela UFSC,2025.0,Março,2297116.0,Trindade,A04S381708,H002,CASAN,Florianópolis - Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",2.0,0.0,0.0,0.0,2.0,3241.0,3285.0,44.0,LIDO,Sem ocorrência,678.96,678.96,-128.33,0.0,0.0,1229.5900000000001,3,2025-03-20
H003 2025 Março,Medidor faturado pela UFSC,2025.0,Março,2297124.0,Trindade,C11C010369,H003,CASAN,Florianópolis - Trindade,Biotério Central (BIC 01 a 10),1.0,0.0,0.0,0.0,1.0,12210.0,12434.0,224.0,LIDO,Sem ocorrência,4153.24,4153.24,-784.95,0.0,0.0,7521.53,3,2025-03-20
H004 2025 Março,Medidor faturado pela UFSC,2025.0,Março,2297086.0,Trindade,B17C002619,H004,CASAN,Florianópolis - Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",1.0,0.0,0.0,0.0,1.0,3139.0,3240.0,101.0,LIDO,Sem ocorrência,1831.0,1831.0,-346.06,0.0,0.0,3315.94,3,2025-03-20
H005 2025 Março,Medidor faturado pela UFSC,2025.0,Março,2297078.0,Trindade,B10C010667,H005,CASAN,Florianópolis - Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",1.0,0.0,0.0,0.0,1.0,1715.0,1868.0,153.0,LIDO/REVISÃO,Média,2812.76,2812.76,-531.62,0.0,0.0,5093.900000000001,3,2025-03-20
H006 2025 Março,Medidor faturado pela UFSC,2025.0,Março,9185569.0,Trindade,A11C032611,H006,CASAN,Florianópolis - Trindade,Eng. Civil Bloco D,1.0,0.0,0.0,0.0,1.0,278.0,284.0,6.0,LIDO/REVISÃO,Média,86.04,86.04,-16.26,0.0,0.0,155.82000000000002,3,2025-03-20
H007 2025 Março,Medidor faturado pela UFSC,2025.0,Março,9185550.0,Trindade,A11C047521,H007,CASAN,Florianópolis - Trindade,"Eng. Civil Bloco A, B e C",1.0,0.0,0.0,0.0,1.0,7319.0,7404.0,85.0,LIDO,Alto Consumo,1528.92,1528.92,-288.98,0.0,0.0,2768.86,3,2025-03-20
H008 2025 Março,Medidor faturado pela UFSC,2025.0,Março,2297159.0,Trindade,C11C010187,H008,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",1.0,0.0,0.0,0.0,1.0,4531.0,4835.0,304.0,LIDO/REVISÃO,Média,5663.64,5663.64,-1070.43,0.0,0.0,10256.85,3,2025-03-20
H009 2025 Março,Medidor faturado pela UFSC,2025.0,Março,2297140.0,Trindade,Y11C052787,H009,CASAN,Florianópolis - Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),1.0,0.0,0.0,0.0,1.0,29.0,30.0,1.0,LIDO,Alto Consumo,52.44,52.44,-9.91,0.0,0.0,94.97,3,2025-03-20
H010 2025 Março,Medidor faturado pela UFSC,2025.0,Março,2297132.0,Trindade,C11C010472,H010,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",1.0,0.0,0.0,0.0,1.0,2820.0,2842.0,22.0,MÉDIO,HIDROMETRO INVERTIDO,339.48,339.48,-64.16,0.0,0.0,614.8000000000001,3,2025-03-20
